Version:	0.100000
Fitness:	0.000000	0.102538
Sample:	1
PopSize:	1000
NoQTL:	1
Ploidy:	2
OptimizeVariance:	0.000527
Drift:	False
EnvVar:	0.012599
MutationScalar:	0.002100
MutationVar:	0.000026
Generations:	6500
ChangeFitnessSD:	5000	0.099119
MoveFitnessSD:	5000	1.815636
MoveType:	Phenotype
Seed:	821759058
PheotypeVar:	0.013126
Heritabitlity:	0.040184
StandardisePhenotype:	False
InitFitnessSD:	-1.000000
Generation	Phenotype Mean	Phenotype Ratio	Genotype Var	P Survived	Surviving Slope	Surviving Standardised Slope	w	
233	-0.003789	-0.032876	0.001121	663	4.607469	0.355339	0.217836	
234	-0.002568	-0.021142	0.001127	649	4.549138	0.363533	0.219160	
235	0.005881	0.051856	0.001125	664	4.573156	0.342562	0.218690	
236	-0.001604	-0.013843	0.001142	642	4.543893	0.340700	0.221995	
237	-0.002682	-0.022721	0.001085	636	4.600424	0.359880	0.210834	
238	-0.003688	-0.032815	0.001110	700	4.560141	0.361730	0.215702	
239	0.006592	0.055822	0.001162	640	4.612252	0.352630	0.225972	
240	-0.001008	-0.008617	0.001155	657	4.545032	0.355127	0.224575	
241	0.000284	0.002421	0.001101	643	4.552376	0.352451	0.213979	
242	-0.005855	-0.049867	0.001156	656	4.536397	0.353579	0.224651	
243	-0.006738	-0.060800	0.001161	677	4.576450	0.347750	0.225788	
244	-0.004572	-0.038530	0.001108	624	4.513289	0.355310	0.215431	
245	0.002052	0.017847	0.001069	667	4.484278	0.351016	0.207772	
246	-0.005493	-0.047762	0.001048	644	4.567867	0.335799	0.203799	
247	0.002183	0.018955	0.001001	652	4.596604	0.348136	0.194631	
248	-0.001125	-0.009645	0.001055	641	4.549170	0.353772	0.205035	
249	-0.001869	-0.016470	0.001060	670	4.460326	0.350706	0.206023	
250	-0.008780	-0.074407	0.001105	650	4.506297	0.336289	0.214765	
251	-0.003217	-0.027647	0.001036	641	4.468195	0.336934	0.201378	
252	-0.008280	-0.072421	0.001055	662	4.438453	0.327237	0.205021	
253	-0.003484	-0.030174	0.001179	636	4.588755	0.349546	0.229132	
254	0.003768	0.031809	0.001212	661	4.545258	0.368583	0.235551	
255	-0.008446	-0.071860	0.001203	659	4.603602	0.362012	0.233839	
256	-0.006717	-0.056723	0.001099	658	4.643958	0.367360	0.213647	
257	-0.005230	-0.046400	0.001191	649	4.605656	0.358004	0.231482	
258	0.003693	0.030829	0.001128	620	4.568742	0.351129	0.219231	
259	0.001285	0.010936	0.001165	658	4.591657	0.354587	0.226537	
260	-0.003978	-0.034366	0.001152	661	4.482645	0.336215	0.223916	
261	-0.006038	-0.052695	0.000937	665	4.478718	0.347896	0.182051	
262	-0.004448	-0.038115	0.001114	686	4.522003	0.353399	0.216590	
263	-0.005300	-0.046753	0.001190	657	4.528904	0.335667	0.231296	
264	-0.001620	-0.014291	0.001079	675	4.561707	0.351588	0.209659	
265	-0.005928	-0.051233	0.001096	682	4.609969	0.357690	0.213096	
266	0.005587	0.048562	0.001121	660	4.540012	0.349479	0.217854	
267	0.001841	0.016177	0.001061	655	4.544913	0.339646	0.206337	
268	-0.008527	-0.073651	0.001076	657	4.591389	0.357402	0.209265	
269	-0.001468	-0.012015	0.001084	671	4.620194	0.386584	0.210652	
270	-0.002393	-0.020329	0.001021	650	4.636699	0.363462	0.198408	
271	-0.003352	-0.029664	0.001048	656	4.560569	0.338574	0.203808	
272	-0.004729	-0.041462	0.001185	650	4.572846	0.351486	0.230262	
273	-0.006739	-0.059176	0.001161	653	4.565678	0.348013	0.225757	
274	-0.004560	-0.037366	0.001068	665	4.456049	0.342748	0.207640	
275	0.000600	0.005064	0.001058	657	4.561491	0.367079	0.205687	
276	-0.003997	-0.034688	0.001117	682	4.537264	0.340991	0.217113	
277	0.001159	0.009797	0.001149	642	4.573610	0.347903	0.223327	
278	-0.004848	-0.041603	0.001103	670	4.578156	0.341669	0.214407	
